"X","State.Is.Easing.Social.Distancing.Measures","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Emergency.Declaration","Version","Face.Covering.Requirement","Status.of.Reopening","Bar.Closures"
"Maryland","Yes","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_25","Required for General Public",NA,NA
"Massachusetts","Yes","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_25","Required for General Public",NA,NA
"Michigan","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for General Public",NA,NA
"Minnesota","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for Certain Employees",NA,NA
"Mississippi","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_25","Required for Certain Employees",NA,NA
"Missouri","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_25","-",NA,NA
"Montana","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","-",NA,NA
"Nebraska","Yes","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for Certain Employees",NA,NA
"Nevada","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for General Public",NA,NA
"New Hampshire","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for Certain Employees",NA,NA
"New Jersey","Yes","Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_25","Required for General Public",NA,NA
"New Mexico","Yes","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_25","Required for Certain Employees",NA,NA
"New York","Yes","Statewide","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_25","Required for General Public",NA,NA
"North Carolina","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for General Public",NA,NA
"North Dakota","Yes","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","Yes","2020_06_25","- ",NA,NA
"Ohio","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service","Postponed","Yes","2020_06_25","Required for Certain Employees",NA,NA
"Oklahoma","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","-",NA,NA
"Oregon","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_25","Required for General Public",NA,NA
"Pennsylvania","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for General Public",NA,NA
"Rhode Island","Yes","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_25","Required for General Public",NA,NA
"South Carolina","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_25","Allows Local Officals to Require for General Public",NA,NA
"South Dakota","Yes","-","-","-","Lifted","Recommended Closure for School Year","-","-","Yes","2020_06_25","-",NA,NA
"Tennessee","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service","-","Yes","2020_06_25","-",NA,NA
"Texas","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Allows Local Officals to Require for General Public",NA,NA
"Utah","Yes","Lifted","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_25","Required for Certain Employees",NA,NA
"Vermont","Yes","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for Certain Employees",NA,NA
"Virginia","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for General Public",NA,NA
"Washington","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_25","Required for General Public",NA,NA
"West Virginia","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_25","Required for Certain Employees",NA,NA
"Wisconsin","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_25","-",NA,NA
"Wyoming","Yes","-","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","Yes","2020_06_25","Required for Certain Employees",NA,NA
"","Text--narrow","Text--narrow","Text--narrow","Text","Text--narrow","Text","Text","Text--narrow","Text--narrow","2020_06_26","Text--narrow",NA,NA
"United States","Yes (51)","Original Stay at Home Order in Place (6); Stay at Home Order Eased or Lifted (39); No Action (6)","Original Traveler Quarantine Mandate in Place (9); New Traveler Quarantine Mandate in Place (3); Traveler Quarantine Mandate Eased or Lifted (16); No Action (23)","Some or All Non-Essential Businesses Permitted to Reopen (46); No Action (5)","Original Gathering Ban/Limit in Place (6); Gathering Ban/Limit Expanded or Lifted (44); No Action (1)","Closed (6); Closed for School Year (37); Recommended Closure (1); Recommended Closure for School Year (6); Rescinded (1)","Original Restaurant Closures Still in Place (2); Restaurants Reopened to Dine-in Service (48); No Action (1)","Postponed (15); No (36)","Yes (51); No (0)","2020_06_26","Required for General Public (19); Required for Certain Employees (20); Allows Local Officals to Require for General Public (4); No Action (9)",NA,NA
"Alabama","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_26","Required for Certain Employees",NA,NA
"Alaska","Yes","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","Yes","2020_06_26","Required for Certain Employees",NA,NA
"Arizona","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_26","Required for Certain Employees;
Allows Local Officials to Require for General Public",NA,NA
"Arkansas","Yes","-","Lifted","-","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_26","Required for Certain Employees",NA,NA
"California","Yes","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_26","Required for General Public",NA,NA
"Colorado","Yes","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_26","Required for Certain Employees",NA,NA
"Connecticut","Yes","Lifted","From Certain States (New)","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_26","Required for General Public",NA,NA
"Delaware","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_26","Required for General Public",NA,NA
"District of Columbia","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_26","Required for General Public",NA,NA
"Florida","Yes","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_26","Required for Certain Employees",NA,NA
"Georgia","Yes","Rolled Back to High Risk Groups","-","All Non-Essential Businesses Permitted to Reopen ","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","Postponed","Yes","2020_06_26","Required for Certain Employees",NA,NA
"Hawaii","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_26","Required for General Public",NA,NA
"Idaho","Yes","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_26","-",NA,NA
"Illinois","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","2020_06_26","Required for General Public",NA,NA
"Indiana","Yes","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_26","Required for Certain Employees",NA,NA
"Iowa","Yes","-","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_26","Allows Local Officals to Require for General Public",NA,NA
"Kansas","Yes","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","Yes","2020_06_26","-",NA,NA
"Kentucky","Yes","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_26","Required for Certain Employees",NA,NA
"Louisiana","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_26","Required for Certain Employees",NA,NA
"Maine","Yes","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_26","Required for General Public",NA,NA
"Maryland","Yes","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_06_26","Required for General Public",NA,NA
"Massachusetts","Yes","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service","-","Yes","2020_06_26","Required for General Public",NA,NA
"Michigan","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_26","Required for General Public",NA,NA
"Minnesota","Yes","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_06_26","Required for Certain Employees",NA,NA
